TASK,category,,
windows: ip shortage in mycloud for some vlans. please help us getting ips.,non-automatable,,
request for server configuration upgrade. server: acdcslpdb549. please do the needful.,non-automatable,,
unix : support request for a server,non-automatable,,
"please block the below mentioned url in malicious category, 

www.surveygizmo.com/s3/4872844/pdf-off",non-automatable,,
"please block the below mentioned email address on ml. 

sue.henninger@dana.com
js-silveira@oi.com.br",non-automatable,,
notes-cbs & corp applications request,non-automatable,,
appworx: vertex request,non-automatable,,
jndi for stage environment,non-automatable,,
"modification to  dcdn-b9ltfl:  approved   
see approval database for details.",non-automatable,,
"modification to  dcdn-b5cnz2:  approved
see approval database for details.",non-automatable,,
"port opening dcdn-b9usyq:  approved
see approval database for details.",non-automatable,,
unix:product problem solving (pps) request,non-automatable,,
azure webapp creation ticket,non-automatable,,
cd619 : sw install request cmi-670575,non-automatable,,
slm - survey access request,non-automatable,,
qh404 : sw uninstall request cmi-652455,non-automatable,,
unix:request for server configuration upgrade. server: ftdcslpinf0058. please do the needful.,non-automatable,,
box.com government access request,non-automatable,,
hi: middleware brazil prod soa suite 11g request,non-automatable,,
build 81481,non-automatable,,
build 81487,non-automatable,,
hi: middleware soa suite access request,non-automatable,,
"security exception dcdn-b9zp28:  approved
see approval database for details.",non-automatable,,
unix:storage shortage in some clusters. please do the needful.,non-automatable,,
hi:obiee - ascp access request,non-automatable,,
build - 81503,non-automatable,,
mv605 : sw install request cmi-671212,non-automatable,,
"port opening dcdn-b9zsfl:  approved  
see approval database for details.",non-automatable,,
"obiee - cgt obiee (us, es, uk) access request",non-automatable,,
sql:microsoft self service bi request,non-automatable,,
windows: request no: cidm-b36jdf,non-automatable,,
"modification to dcdn-b9ljnb:  approved 
see approval database for details.",non-automatable,,
oa752 : sw install request cmi-595857,non-automatable,,
mb832 : sw install request cmi-591840,non-automatable,,
microsoft self service bi -ebu access request,non-automatable,,
pc109 : sw install request cmi-592696,non-automatable,,
web: ldap access request,non-automatable,,
#decom# unix:support request for a server,non-automatable,,
dbu dms - siebel crm request,non-automatable,,
onepay extras dev default gateway,non-automatable,,
"port opening dcdn-ba6knp:  approved
see approval database for details.",non-automatable,,
appworx:new appworx portal request ticket,non-automatable,,
windows: request no: cidm-b9yhax,non-automatable,,
##build acixzuxprint1001## support request for a server,non-automatable,,
##build acixzuxprint1002## support request for a server,non-automatable,,
ie729 : sw install request cmi-665510,non-automatable,,
#decomm# support request for a server,non-automatable,,
##build silpinfdps6007##support request for a server,non-automatable,,
##build selpinfdps6002##support request for a server,non-automatable,,
unix : server storage allocationunix,non-automatable,,
##build selpinfdps6001##support request for a server,non-automatable,,
completed build 81412,non-automatable,,
##build silpinfdps6008##support request for a server,non-automatable,,
##build sdlpinfdps6001##support request for a server,non-automatable,,
##build scldfinapp5001##support request for a server,non-automatable,,
ibm rational clm access request,non-automatable,,
##build sclpepaapp5001##support request for a server,non-automatable,,
unix:one bms - southern plain request,non-automatable,,
notes-travel approval form request,non-automatable,,
web:testops access request,non-automatable,,
erm web application request,non-automatable,,
ra231 : sw install request cmi-680020,non-automatable,,
"modification to  dcdn-b58r98:  approved
see approval database for details.",non-automatable,,
please reboot  the server acdcslpapp1089.aciz.cummins.com,non-automatable,,
windows:special backup needed,non-automatable,,
appworx: support request for a server,non-automatable,,
windows:request no: cidm-ba6gw9,non-automatable,,
web:global rebates management system request,non-automatable,,
notes-service(sot) & parts(pot) dbu emea data base access request,non-automatable,,
onepay extras stage deployment,non-automatable,,
po457 : sw install request cmi-679263,non-automatable,,
email block,non-automatable,,
box.com commercial access request,non-automatable,,
mq713 : sw install request cmi-517182,non-automatable,,
iq554 : sw uninstall request cmi-680726,non-automatable,,
cso data exchange request,non-automatable,,
ha122 : sw install request cmi-391438,non-automatable,,
go419 : sw install request cmi-679889,non-automatable,,
cs608 : sw install request cmi-604701,non-automatable,,
hi:one bms - southern plain request,non-automatable,,
##dcom##decommission request.,non-automatable,,
ra130 : sw install request cmi-679438,non-automatable,,
notes: remove access from an existing file share,non-automatable,,
dg063 : sw install request cmi-629924,non-automatable,,
web:testops request,non-automatable,,
bi -â via workflowâ e885d8c5-c22c-4394-b1e9-cd8f7305672f,non-automatable,,
request for server configuration upgrade. server: acdcslpracdb0028. please do the needful.,non-automatable,,
co977 : sw install request cmi-675969,non-automatable,,
windows: request no: cidm-b9yh5r,non-automatable,,
windows: request no: cidm-b9yh4a,non-automatable,,
"windows:pinpunctci021,mx511de,70158phh1w8z6",non-automatable,,
borrow 2 microphones and pointer,non-automatable,,
web:wwims next generation access request,non-automatable,,
##build scldfinweb5001##support request for a server,non-automatable,,
\\cttcswputil01\cn.wux.holset\localsharedfolders\manufacturing_processfile,non-automatable,,
unix:request for server configuration upgrade. server: ftdcslsapp0031. please do the needful.,non-automatable,,
unix: grant or modify access to an existing file share,non-automatable,,
ebu non-erp invoicing solution (eni) request,non-automatable,,
##build sclpapsapp5001##support request for a server,non-automatable,,
"modification to port opening dcdn-awcrhd:  approved 
see approval database for details.",non-automatable,,
mm610 : sw install request cmi-673438,non-automatable,,
wwimssupport request for a lotus notes application/database,non-automatable,,
wwims support request for a lotus notes application/database,non-automatable,,
cummins.com - africa access request,non-automatable,,
"renewal of port opening dcdn-awcrhd:  approved 
see approval database for details.",non-automatable,,
mirs,non-automatable,,
unix : vertex request,non-automatable,,
windows: lan-windows ou move request,non-automatable,,
bi -â via workflowâ acb8f2bb-99e4-4dcb-ae5a-7ad34029a935,non-automatable,,
windows: infections detected,non-automatable,,
urgent block request,non-automatable,,
\\cfcsswputil01\cn.sha.cpdc\localsharedfolders\finance,non-automatable,,
hi: middleware soa suite 11g access request,non-automatable,,
add power broker account teardown1 into application servers.,non-automatable,,
fe809 : sw install request cmi-430325,non-automatable,,
block email,non-automatable,,
bu070 : sw install request cmi-451725,non-automatable,,
bu070 : sw install request cmi-451730,non-automatable,,
\\cttcswputil01\cn.wux.holset\localsharedfolders\manufacturing,non-automatable,,
\\ceciswputil01\cn.bei.rch\localsharedfolders\ces_accessory,non-automatable,,
cfse remote locator (web) request,non-automatable,,
decom unix:support request for a server,non-automatable,,
appworx:appworx-prd request,non-automatable,,
block request â domain,non-automatable,,
pc537 : sw uninstall request cmi-621787,non-automatable,,
unix:add power broker account devgiea into application servers.,non-automatable,,
urgent block request-,non-automatable,,
notes-cummins power rent system access request,non-automatable,,
hodgkins: subnet expansion,non-automatable,,
"windows: request for information only (e.g. who has access, owner name)",non-automatable,,
urgent block request.,non-automatable,,
windows: dhcp reservation,non-automatable,,
web:fims access request,non-automatable,,
unix:powerbroker access request,non-automatable,,
hi:obiee - cpg fridley access request,non-automatable,,
engineering wiki [ewiki] access request,non-automatable,,
sql: sql - database access request,non-automatable,,
web:certified engine listing (cel) request,non-automatable,,
network,non-automatable,,
web:cfse remote locator (web) request,non-automatable,,
sql: microsoft self service bi request,non-automatable,,
update,non-automatable,,
notes-cscr mail access request,non-automatable,,
lk705 : sw uninstall request cmi-681504,non-automatable,,
port opening dcdn-ba9n9p: approved,non-automatable,,
ps5 -kv553 : sw install request cmi-357652,non-automatable,,
ra188 : sw install request cmi-680209,non-automatable,,
ha435 : sw install request cmi-418882,non-automatable,,
channel 1 dealer portal-cpg siebel crm access request,non-automatable,,
oracle:appworx access request,non-automatable,,
sender block request,non-automatable,,
middleware soa suite request,non-automatable,,
cbs billing access request,non-automatable,,
windows : request no: cidm-b9anr9,non-automatable,,
ha435 : sw uninstall request cmi-680084,non-automatable,,
web:ssa request,non-automatable,,
mv695 : sw install request cmi-614456,non-automatable,,
edi - electronic data interchange access request,non-automatable,,
cfg - cummins file gateway access request,non-automatable,,
